OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,Profit,Quantity,Account,Sales,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude
7/01/2011,Office Supplies,Los Angeles,United States,Lycoris Saunders,0,CA-2011-130813,90049,9,3,Alpine Ski House,19,Consumer,9/01/2011,Second Class,California,Paper,2,25,Shipped Early,3,null,19.44,48,null,34.066,-118.474
8/01/2011,Office Supplies,Huntsville,United States,Vivek Sundaresam,0.8,CA-2011-105417,77340,-18,7,Northwind Traders,10,Consumer,13/01/2011,Standard Class,Texas,Binders,5,14,Shipped Early,6,null,10.43,-175,null,30.6448,-95.5798
10/01/2011,Office Supplies,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,1,2,Northwind Traders,9,Consumer,14/01/2011,Standard Class,Texas,Art,4,12,Shipped Early,6,null,9.34,12.5,null,27.5569,-99.4907
11/01/2011,Office Supplies,Springfield,United States,Anthony Jacobs,0,CA-2011-149020,22153,1,1,Fabrikam Inc,3,Corporate,16/01/2011,Standard Class,Virginia,Labels,5,4,Shipped Early,6,null,2.89,47,null,38.7449,-77.237
14/01/2011,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,25,3,Fabrikam Inc,51,Corporate,16/01/2011,Second Class,Louisiana,Envelopes,2,67,Shipped Early,3,null,50.94,50,null,32.5449,-93.7038
14/01/2011,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,34,6,Fabrikam Inc,573,Corporate,16/01/2011,Second Class,Louisiana,Storage,2,750,Shipped Early,3,null,572.58,6,null,32.5449,-93.7038
14/01/2011,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,5,2,Fabrikam Inc,11,Corporate,16/01/2011,Second Class,Louisiana,Envelopes,2,15,Shipped Early,3,null,11.36,47,null,32.5449,-93.7038
14/01/2011,Office Supplies,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,3,3,Fabrikam Inc,6,Corporate,16/01/2011,Second Class,Louisiana,Binders,2,7,Shipped Early,3,null,5.64,48,null,32.5449,-93.7038
14/01/2011,Office Supplies,Newark,United States,Michael Moore,0.7,CA-2011-118192,43055,-3,2,A Datum Corporation,3,Consumer,19/01/2011,Standard Class,Ohio,Binders,5,5,Shipped Early,6,null,3.44,-73.3,null,40.0724,-82.4046
14/01/2011,Office Supplies,Newark,United States,Michael Moore,0.2,CA-2011-118192,43055,13,7,A Datum Corporation,37,Consumer,19/01/2011,Standard Class,Ohio,Paper,5,49,Shipped Early,6,null,37.41,35,null,40.0724,-82.4046
14/01/2011,Office Supplies,San Francisco,United States,Brian Dahlen,0,CA-2011-157147,94109,7,5,Alpine Ski House,20,Consumer,19/01/2011,Standard Class,California,Art,5,26,Shipped Early,6,null,19.9,33,null,37.7917,-122.4186
14/01/2011,Office Supplies,San Francisco,United States,Brian Dahlen,0,CA-2011-157147,94109,239,5,Alpine Ski House,1326,Consumer,19/01/2011,Standard Class,California,Storage,5,1737,Shipped Early,6,null,1325.85,18,null,37.7917,-122.4186
17/01/2011,Office Supplies,Philadelphia,United States,Delfina Latchford,0.7,CA-2011-115791,19134,-14,2,A Datum Corporation,19,Consumer,19/01/2011,Second Class,Pennsylvania,Binders,2,24,Shipped Early,3,null,18.59,-73.3,null,39.9925,-75.1133
17/01/2011,Office Supplies,Philadelphia,United States,Delfina Latchford,0.2,CA-2011-115791,19134,10,3,A Datum Corporation,30,Consumer,19/01/2011,Second Class,Pennsylvania,Labels,2,39,Shipped Early,3,null,30.07,33.8,null,39.9925,-75.1133
19/01/2011,Office Supplies,Springfield,United States,David Wiener,0.2,CA-2011-123477,97477,6,4,Alpine Ski House,65,Corporate,22/01/2011,Second Class,Oregon,Appliances,3,85,Shipped On Time,3,null,64.86,10,null,44.0611,-123.0153
20/01/2011,Office Supplies,Scottsdale,United States,Toby Swindell,0.7,CA-2011-146591,85254,-24,10,Alpine Ski House,32,Consumer,21/01/2011,First Class,Arizona,Binders,1,42,Shipped On Time,1,null,32.34,-73.3,null,33.6165,-111.9554
20/01/2011,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,20,4,Alpine Ski House,56,Consumer,21/01/2011,First Class,Arizona,Paper,1,73,Shipped On Time,1,null,56.06,35,null,33.6165,-111.9554
20/01/2011,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,37,5,Alpine Ski House,109,Consumer,21/01/2011,First Class,Arizona,Envelopes,1,142,Shipped On Time,1,null,108.72,33.8,null,33.6165,-111.9554
21/01/2011,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,2,3,Fabrikam Inc,7,Consumer,27/01/2011,Standard Class,Arkansas,Art,6,9,Shipped On Time,6,null,6.63,27,null,35.833,-90.6965
21/01/2011,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,7,7,Fabrikam Inc,23,Consumer,27/01/2011,Standard Class,Arkansas,Art,6,30,Shipped On Time,6,null,22.96,29,null,35.833,-90.6965
21/01/2011,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,11,3,Fabrikam Inc,23,Consumer,27/01/2011,Standard Class,Arkansas,Envelopes,6,31,Shipped On Time,6,null,23.34,47,null,35.833,-90.6965
21/01/2011,Office Supplies,Los Angeles,United States,Mark Van Huff,0,CA-2011-148614,90049,9,2,Alpine Ski House,19,Consumer,26/01/2011,Standard Class,California,Paper,5,25,Shipped Early,6,null,19.36,48,null,34.066,-118.474
21/01/2011,Office Supplies,Smyrna,United States,Muhammed MacIntyre,0.7,US-2011-147774,37167,-52,1,Fabrikam Inc,67,Corporate,27/01/2011,Standard Class,Tennessee,Binders,6,88,Shipped On Time,6,null,67.19,-76.7,null,35.9656,-86.5048
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,9,5,Northwind Traders,19,Consumer,27/01/2011,Standard Class,Michigan,Binders,6,25,Shipped On Time,6,null,19.05,47,null,42.3358,-83.3846
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,4,1,Northwind Traders,14,Consumer,27/01/2011,Standard Class,Michigan,Storage,6,18,Shipped On Time,6,null,13.98,29,null,42.3358,-83.3846
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,16,2,Northwind Traders,67,Consumer,27/01/2011,Standard Class,Michigan,Storage,6,87,Shipped On Time,6,null,66.58,24,null,42.3358,-83.3846
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0.1,CA-2011-167927,48185,94,4,Northwind Traders,248,Consumer,27/01/2011,Standard Class,Michigan,Appliances,6,325,Shipped On Time,6,null,247.72,37.8,null,42.3358,-83.3846
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,13,3,Northwind Traders,44,Consumer,27/01/2011,Standard Class,Michigan,Art,6,58,Shipped On Time,6,null,43.92,29,null,42.3358,-83.3846
21/01/2011,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,13,5,Northwind Traders,30,Consumer,27/01/2011,Standard Class,Michigan,Binders,6,39,Shipped On Time,6,null,29.7,45,null,42.3358,-83.3846
24/01/2011,Office Supplies,Lafayette,United States,Speros Goranitis,0,CA-2011-146997,47905,0,3,Northwind Traders,6,Consumer,28/01/2011,Standard Class,Indiana,Fasteners,4,8,Shipped Early,6,null,5.94,0,null,40.4001,-86.8602
24/01/2011,Office Supplies,Las Vegas,United States,Ionia McGrath,0,CA-2011-102645,89115,19,6,Alpine Ski House,40,Consumer,29/01/2011,Standard Class,Nevada,Paper,5,53,Shipped Early,6,null,40.08,48,null,36.2158,-115.0671
27/01/2011,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,9,3,Fabrikam Inc,19,Home Office,1/02/2011,Standard Class,Virginia,Paper,5,25,Shipped Early,6,null,19.44,48,null,38.8149,-77.121
27/01/2011,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,8,2,Fabrikam Inc,17,Home Office,1/02/2011,Standard Class,Virginia,Paper,5,22,Shipped Early,6,null,16.68,50,null,38.8149,-77.121
27/01/2011,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,0,8,Fabrikam Inc,490,Home Office,1/02/2011,Standard Class,Virginia,Storage,5,642,Shipped Early,6,null,489.92,0,null,38.8149,-77.121
27/01/2011,Office Supplies,Rapid City,United States,Carol Adams,0,CA-2011-167997,57701,5,2,Northwind Traders,11,Corporate,30/01/2011,First Class,South Dakota,Binders,3,14,Shipped Late,1,null,10.68,47,null,44.1415,-103.2052
28/01/2011,Office Supplies,San Diego,United States,Ed Jacobs,0,US-2011-117163,92037,12,4,Alpine Ski House,36,Consumer,3/02/2011,Standard Class,California,Art,6,48,Shipped On Time,6,null,36.44,33,null,32.8455,-117.2521
28/01/2011,Office Supplies,San Diego,United States,Ed Jacobs,0,US-2011-117163,92037,14,1,Alpine Ski House,57,Consumer,3/02/2011,Standard Class,California,Storage,6,75,Shipped On Time,6,null,57.23,25,null,32.8455,-117.2521
29/01/2011,Office Supplies,New York City,United States,Jasper Cacioppo,0.2,CA-2011-100328,10024,1,1,A Datum Corporation,4,Consumer,4/02/2011,Standard Class,New York,Binders,6,5,Shipped On Time,6,null,3.93,33.8,null,40.7864,-73.9764
31/01/2011,Office Supplies,Detroit,United States,Mike Vittorini,0,CA-2011-134103,48234,7,2,Northwind Traders,230,Consumer,5/02/2011,Standard Class,Michigan,Storage,5,301,Shipped Early,6,null,229.94,3,null,42.4337,-83.0434
31/01/2011,Office Supplies,Detroit,United States,Mike Vittorini,0,CA-2011-134103,48234,5,2,Northwind Traders,11,Consumer,5/02/2011,Standard Class,Michigan,Paper,5,14,Shipped Early,6,null,10.56,45,null,42.4337,-83.0434
3/02/2011,Office Supplies,Saint Petersburg,United States,Eric Barreto,0.7,CA-2011-123400,33710,-12,2,Fabrikam Inc,18,Consumer,10/02/2011,Standard Class,Florida,Binders,7,24,Shipped Late,6,null,18.34,-66.7,null,27.7898,-82.7243
3/02/2011,Office Supplies,San Diego,United States,Cynthia Delaney,0,CA-2011-139857,92037,6,5,Alpine Ski House,12,Home Office,7/02/2011,Standard Class,California,Fasteners,4,16,Shipped Early,6,null,12.35,47,null,32.8455,-117.2521
4/02/2011,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,4,3,Alpine Ski House,13,Consumer,7/02/2011,Second Class,Washington,Binders,3,17,Shipped On Time,3,null,13.27,32.5,null,47.6633,-122.3022
4/02/2011,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,27,2,Alpine Ski House,84,Consumer,7/02/2011,Second Class,Washington,Binders,3,110,Shipped On Time,3,null,83.84,32.5,null,47.6633,-122.3022
5/02/2011,Office Supplies,Escondido,United States,Mark Haberlin,0.2,CA-2011-104808,92025,6,2,Alpine Ski House,17,Corporate,9/02/2011,Second Class,California,Binders,4,23,Shipped Late,3,null,17.25,35,null,33.1101,-117.07
5/02/2011,Office Supplies,San Diego,United States,Deborah Brumfield,0.2,CA-2011-107181,92024,29,3,Alpine Ski House,83,Home Office,9/02/2011,Standard Class,California,Binders,4,109,Shipped Early,6,null,82.9,35,null,33.0535,-117.2689
5/02/2011,Office Supplies,San Diego,United States,Deborah Brumfield,0,CA-2011-107181,92024,16,4,Alpine Ski House,34,Home Office,9/02/2011,Standard Class,California,Paper,4,45,Shipped Early,6,null,34.24,47,null,33.0535,-117.2689
7/02/2011,Office Supplies,Chesapeake,United States,Neil Ducich,0,CA-2011-131905,23320,7,4,Fabrikam Inc,15,Corporate,10/02/2011,First Class,Virginia,Labels,3,20,Shipped Late,1,null,15,48,null,36.7352,-76.2384
7/02/2011,Office Supplies,Romeoville,United States,Delfina Latchford,0.8,CA-2011-108182,60441,-15,2,Northwind Traders,9,Consumer,11/02/2011,Second Class,Illinois,Binders,4,12,Shipped Late,3,null,8.95,-165,null,41.593,-88.0507
8/02/2011,Office Supplies,New York City,United States,Chris Selesnick,0,US-2011-169390,10024,10,4,A Datum Corporation,65,Corporate,11/02/2011,Second Class,New York,Storage,3,85,Shipped On Time,3,null,64.96,15,null,40.7864,-73.9764
12/02/2011,Office Supplies,Chesapeake,United States,Natalie Fritzler,0,CA-2011-127614,23320,8,2,Fabrikam Inc,17,Consumer,16/02/2011,Standard Class,Virginia,Binders,4,23,Shipped Early,6,null,17.46,47,null,36.7352,-76.2384
12/02/2011,Office Supplies,Columbia,United States,Guy Armstrong,0,CA-2011-168368,65203,7,3,Northwind Traders,15,Consumer,16/02/2011,Second Class,Missouri,Labels,4,20,Shipped Late,3,null,14.94,46,null,38.9348,-92.3639
12/02/2011,Office Supplies,Columbia,United States,Guy Armstrong,0,CA-2011-168368,65203,3,2,Northwind Traders,65,Consumer,16/02/2011,Second Class,Missouri,Storage,4,85,Shipped Late,3,null,64.96,4,null,38.9348,-92.3639
12/02/2011,Office Supplies,Columbia,United States,Guy Armstrong,0,CA-2011-168368,65203,24,3,Northwind Traders,52,Consumer,16/02/2011,Second Class,Missouri,Binders,4,68,Shipped Late,3,null,51.9,47,null,38.9348,-92.3639
12/02/2011,Office Supplies,Columbia,United States,Guy Armstrong,0,CA-2011-168368,65203,4,2,Northwind Traders,10,Consumer,16/02/2011,Second Class,Missouri,Binders,4,13,Shipped Late,3,null,9.64,46,null,38.9348,-92.3639
15/02/2011,Office Supplies,Houston,United States,Shui Tom,0.2,CA-2011-107706,77095,6,3,Northwind Traders,16,Consumer,20/02/2011,Second Class,Texas,Paper,5,21,Shipped Late,3,null,16.18,37.5,null,29.8941,-95.6481
15/02/2011,Office Supplies,Seattle,United States,Marina Lichtenstein,0,CA-2011-121762,98103,23,2,Alpine Ski House,82,Corporate,19/02/2011,Standard Class,Washington,Appliances,4,107,Shipped Early,6,null,81.96,28,null,47.6733,-122.3426
15/02/2011,Office Supplies,Seattle,United States,Marina Lichtenstein,0,CA-2011-121762,98103,5,2,Alpine Ski House,239,Corporate,19/02/2011,Standard Class,Washington,Supplies,4,313,Shipped Early,6,null,238.62,2,null,47.6733,-122.3426
16/02/2011,Office Supplies,Seattle,United States,Barry Französisch,0.2,CA-2011-165568,98105,7,5,Alpine Ski House,21,Corporate,20/02/2011,Standard Class,Washington,Binders,4,28,Shipped Early,6,null,21.36,33.8,null,47.6633,-122.3022
17/02/2011,Office Supplies,Dallas,United States,Michael Nguyen,0.8,CA-2011-122567,75220,-14,2,Northwind Traders,8,Consumer,22/02/2011,Standard Class,Texas,Appliances,5,10,Shipped Early,6,null,7.96,-175,null,32.8681,-96.8622
17/02/2011,Office Supplies,Dallas,United States,Michael Nguyen,0.8,CA-2011-122567,75220,-2,3,Northwind Traders,1,Consumer,22/02/2011,Standard Class,Texas,Binders,5,1,Shipped Early,6,null,1.08,-160,null,32.8681,-96.8622
18/02/2011,Office Supplies,Chicago,United States,Delfina Latchford,0.2,CA-2011-154165,60653,9,14,Northwind Traders,54,Consumer,25/02/2011,Standard Class,Illinois,Art,7,71,Shipped Late,6,null,54.21,16.3,null,41.8196,-87.6126
19/02/2011,Office Supplies,Arlington,United States,Aaron Bergman,0.2,CA-2011-152905,76017,-3,2,Northwind Traders,13,Consumer,25/02/2011,Standard Class,Texas,Storage,6,17,Shipped On Time,6,null,12.62,-20,null,32.6555,-97.1599
21/02/2011,Office Supplies,Los Angeles,United States,Steven Roelle,0,CA-2011-164903,90049,6,2,Alpine Ski House,13,Home Office,25/02/2011,Standard Class,California,Paper,4,17,Shipped Early,6,null,12.96,48,null,34.066,-118.474
22/02/2011,Office Supplies,Woodstock,United States,Tamara Manning,0.8,CA-2011-165540,60098,-14,5,Northwind Traders,9,Consumer,26/02/2011,Standard Class,Illinois,Binders,4,12,Shipped Early,6,null,8.85,-155,null,42.3198,-88.4477
23/02/2011,Office Supplies,Moreno Valley,United States,Sue Ann Reed,0,CA-2011-133354,92553,9,3,Alpine Ski House,19,Consumer,25/02/2011,First Class,California,Paper,2,25,Shipped Late,1,null,19.44,48,null,33.9157,-117.2351
24/02/2011,Office Supplies,El Paso,United States,Michael Grace,0.8,CA-2011-103744,79907,-7,3,Northwind Traders,4,Home Office,28/02/2011,Standard Class,Texas,Binders,4,6,Shipped Early,6,null,4.43,-155,null,31.7089,-106.3293
24/02/2011,Office Supplies,El Paso,United States,Michael Grace,0.2,CA-2011-103744,79907,2,3,Northwind Traders,7,Home Office,28/02/2011,Standard Class,Texas,Labels,4,9,Shipped Early,6,null,6.94,33.8,null,31.7089,-106.3293
25/02/2011,Office Supplies,Medford,United States,Jennifer Halladay,0.2,US-2011-137680,97504,11,4,Alpine Ski House,33,Consumer,2/03/2011,Standard Class,Oregon,Paper,5,43,Shipped Early,6,null,32.9,33.8,null,42.3363,-122.8398
25/02/2011,Office Supplies,Medford,United States,Jennifer Halladay,0.2,US-2011-137680,97504,8,3,Alpine Ski House,23,Consumer,2/03/2011,Standard Class,Oregon,Paper,5,30,Shipped Early,6,null,22.78,33.8,null,42.3363,-122.8398
28/02/2011,Office Supplies,Columbus,United States,Joy Smith,0.2,CA-2011-156545,43229,3,4,A Datum Corporation,19,Consumer,3/03/2011,First Class,Ohio,Art,3,25,Shipped Late,1,null,19.46,17.5,null,40.0839,-82.9726
1/03/2011,Office Supplies,El Paso,United States,Shahid Collister,0.2,CA-2011-131009,79907,-23,3,Northwind Traders,130,Consumer,5/03/2011,Standard Class,Texas,Storage,4,170,Shipped Early,6,null,129.55,-17.5,null,31.7089,-106.3293
1/03/2011,Office Supplies,El Paso,United States,Shahid Collister,0.2,CA-2011-131009,79907,-4,5,Northwind Traders,19,Consumer,5/03/2011,Standard Class,Texas,Fasteners,4,25,Shipped Early,6,null,18.84,-18.8,null,31.7089,-106.3293
1/03/2011,Office Supplies,Elmhurst,United States,Vicky Freymann,0.2,CA-2011-113880,60126,6,3,Northwind Traders,17,Home Office,5/03/2011,Standard Class,Illinois,Paper,4,23,Shipped Early,6,null,17.47,32.5,null,41.8927,-87.941
1/03/2011,Office Supplies,Houston,United States,Giulietta Weimer,0.2,CA-2011-168312,77036,9,3,Northwind Traders,137,Consumer,7/03/2011,Standard Class,Texas,Storage,6,180,Shipped On Time,6,null,137.35,6.2,null,29.6984,-95.5405
2/03/2011,Office Supplies,New York City,United States,Kristina Nunn,0,CA-2011-107524,10009,17,5,A Datum Corporation,36,Home Office,8/03/2011,Standard Class,New York,Paper,6,48,Shipped On Time,6,null,36.4,48,null,40.7262,-73.9796
2/03/2011,Office Supplies,New York City,United States,Kristina Nunn,0,CA-2011-107524,10009,5,2,A Datum Corporation,11,Home Office,8/03/2011,Standard Class,New York,Envelopes,6,15,Shipped On Time,6,null,11.36,47,null,40.7262,-73.9796
2/03/2011,Office Supplies,Philadelphia,United States,Nicole Hansen,0.2,CA-2011-111157,19120,1,1,A Datum Corporation,3,Corporate,6/03/2011,Standard Class,Pennsylvania,Paper,4,4,Shipped Early,6,null,3.42,31.3,null,40.0343,-75.1213
3/03/2011,Office Supplies,Columbus,United States,Jill Stevenson,0.2,US-2011-127978,43229,5,3,A Datum Corporation,15,Corporate,8/03/2011,Standard Class,Ohio,Labels,5,20,Shipped Early,6,null,15.12,32.5,null,40.0839,-82.9726
3/03/2011,Office Supplies,Columbus,United States,Jill Stevenson,0.2,US-2011-127978,43229,-10,8,A Datum Corporation,45,Corporate,8/03/2011,Standard Class,Ohio,Storage,5,59,Shipped Early,6,null,44.67,-22.5,null,40.0839,-82.9726
3/03/2011,Office Supplies,Houston,United States,Sam Craven,0.8,CA-2011-130421,77095,-460,3,Northwind Traders,177,Consumer,7/03/2011,Standard Class,Texas,Appliances,4,232,Shipped Early,6,null,176.77,-260,null,29.8941,-95.6481
3/03/2011,Office Supplies,New York City,United States,Anne Pryor,0.2,CA-2011-127964,10035,9,5,A Datum Corporation,25,Home Office,8/03/2011,Standard Class,New York,Binders,5,33,Shipped Early,6,null,25.32,36.3,null,40.8011,-73.9371
3/03/2011,Office Supplies,New York City,United States,Anne Pryor,0.2,CA-2011-127964,10035,41,3,A Datum Corporation,126,Home Office,8/03/2011,Standard Class,New York,Binders,5,165,Shipped Early,6,null,125.76,32.5,null,40.8011,-73.9371
3/03/2011,Office Supplies,Wilmington,United States,Ashley Jarboe,0.2,CA-2011-155852,28403,3,4,Fabrikam Inc,19,Consumer,7/03/2011,Second Class,North Carolina,Art,4,25,Shipped Late,3,null,19.46,17.5,null,34.2237,-77.8862
4/03/2011,Office Supplies,Columbia,United States,Clay Ludtke,0,CA-2011-116239,29203,18,5,Fabrikam Inc,355,Consumer,4/03/2011,Same Day,South Carolina,Storage,0,465,Shipped On Time,0,null,354.9,5,null,34.0635,-81.0265
4/03/2011,Office Supplies,Margate,United States,Sanjit Chand,0.2,CA-2011-117016,33063,2,3,Fabrikam Inc,16,Consumer,9/03/2011,Standard Class,Florida,Art,5,20,Shipped Early,6,null,15.55,15,null,26.2674,-80.2092
5/03/2011,Office Supplies,Yonkers,United States,Aimee Bixby,0,CA-2011-169061,10701,5,2,A Datum Corporation,19,Consumer,8/03/2011,Second Class,New York,Supplies,3,24,Shipped On Time,3,null,18.62,29,null,40.9461,-73.8669
5/03/2011,Office Supplies,Yonkers,United States,Aimee Bixby,0.2,CA-2011-169061,10701,17,6,A Datum Corporation,50,Consumer,8/03/2011,Second Class,New York,Binders,3,65,Shipped On Time,3,null,49.63,33.8,null,40.9461,-73.8669
5/03/2011,Office Supplies,Yonkers,United States,Aimee Bixby,0,CA-2011-169061,10701,15,3,A Datum Corporation,60,Consumer,8/03/2011,Second Class,New York,Art,3,78,Shipped On Time,3,null,59.52,26,null,40.9461,-73.8669
5/03/2011,Office Supplies,Yonkers,United States,Aimee Bixby,0,CA-2011-169061,10701,46,2,A Datum Corporation,98,Consumer,8/03/2011,Second Class,New York,Paper,3,128,Shipped On Time,3,null,97.82,47,null,40.9461,-73.8669
7/03/2011,Office Supplies,Des Moines,United States,Nora Pelletier,0.2,US-2011-131982,98198,34,2,Alpine Ski House,108,Home Office,11/03/2011,Second Class,Washington,Binders,4,141,Shipped Late,3,null,107.65,31.3,null,47.3929,-122.3129
7/03/2011,Office Supplies,Seattle,United States,Aaron Bergman,0,CA-2011-156587,98103,5,3,Alpine Ski House,243,Consumer,8/03/2011,First Class,Washington,Storage,1,318,Shipped On Time,1,null,242.94,2,null,47.6733,-122.3426
7/03/2011,Office Supplies,Seattle,United States,Aaron Bergman,0,CA-2011-156587,98103,5,3,Alpine Ski House,18,Consumer,8/03/2011,First Class,Washington,Art,1,24,Shipped On Time,1,null,17.94,26,null,47.6733,-122.3426
7/03/2011,Office Supplies,Seattle,United States,Craig Molinari,0,CA-2011-104563,98103,0,5,Alpine Ski House,205,Corporate,12/03/2011,Standard Class,Washington,Storage,5,269,Shipped Early,6,null,204.9,0,null,47.6733,-122.3426
7/03/2011,Office Supplies,Seattle,United States,Craig Molinari,0,CA-2011-104563,98103,9,5,Alpine Ski House,21,Corporate,12/03/2011,Standard Class,Washington,Art,5,27,Shipped Early,6,null,20.65,46,null,47.6733,-122.3426
10/03/2011,Office Supplies,Denver,United States,Kean Thornton,0.2,US-2011-140116,80219,9,4,Alpine Ski House,83,Consumer,17/03/2011,Standard Class,Colorado,Art,7,109,Shipped Late,6,null,83.17,11.3,null,39.6956,-105.0341
10/03/2011,Office Supplies,Denver,United States,Kean Thornton,0.2,US-2011-140116,80219,-16,3,Alpine Ski House,636,Consumer,17/03/2011,Standard Class,Colorado,Storage,7,834,Shipped Late,6,null,636.41,-2.5,null,39.6956,-105.0341
10/03/2011,Office Supplies,Royal Oak,United States,Scott Williamson,0,US-2011-100279,48073,11,2,Northwind Traders,22,Consumer,14/03/2011,Standard Class,Michigan,Paper,4,29,Shipped Early,6,null,22.38,48,null,42.519,-83.157
11/03/2011,Office Supplies,Columbus,United States,Chloris Kastensmidt,0.2,CA-2011-166884,43229,2,6,A Datum Corporation,10,Consumer,16/03/2011,Second Class,Ohio,Fasteners,5,14,Shipped Late,3,null,10.46,16.3,null,40.0839,-82.9726
11/03/2011,Office Supplies,New York City,United States,Kelly Andreada,0,CA-2011-158337,10024,49,14,A Datum Corporation,109,Consumer,14/03/2011,Second Class,New York,Paper,3,143,Shipped On Time,3,null,108.92,45,null,40.7864,-73.9764
11/03/2011,Office Supplies,Richmond,United States,Filia McAdams,0,CA-2011-114790,40475,38,3,Fabrikam Inc,147,Corporate,13/03/2011,Second Class,Kentucky,Appliances,2,192,Shipped Early,3,null,146.76,26,null,37.7546,-84.2955
11/03/2011,Office Supplies,Richmond,United States,Filia McAdams,0,CA-2011-114790,40475,7,3,Fabrikam Inc,15,Corporate,13/03/2011,Second Class,Kentucky,Paper,2,20,Shipped Early,3,null,14.94,47,null,37.7546,-84.2955
